course_name,collection_name
babbitt,Faculty Recordings
boretz,Faculty Recordings
chamber,Performance Ensembles
chapel,Performance Ensembles
compgrad,Performance Ensembles
cone,Faculty Recordings
dembski,Faculty Recordings
faculty,Performance Ensembles
footnotes,Performance Ensembles
glee,Performance Ensembles
katz,Performance Ensembles
lansky,Faculty Recordings
Mackey,Faculty Recordings
mendel,Faculty Recordings
musica,Performance Ensembles
nassoons,Performance Ensembles
opera,Performance Ensembles
organ,Performance Ensembles
perle,Faculty Recordings
plork,Performance Ensembles
pucomp,Performance Ensembles
puje,Performance Ensembles
puo,Performance Ensembles
puperf,Performance Ensembles
puwe,Performance Ensembles
randall,Faculty Recordings
reunions,Reunion Recordings
sessions,Faculty Recordings
sinfonia,Performance Ensembles
student,Performance Ensembles
students,Performance Ensembles
tiger,Performance Ensembles
tigeressions,Performance Ensembles
tigerlilies,Performance Ensembles
tigertones,Performance Ensembles
westergaard,Faculty Recordings
white,Faculty Recordings
wildcats,Performance Ensembles
wuorinen,Faculty Recordings
