"uri","code","label"
"http://id.loc.gov/vocabulary/iso639-1/ab","ab","Abkhazian"
"http://id.loc.gov/vocabulary/iso639-1/aa","aa","Afar"
"http://id.loc.gov/vocabulary/iso639-1/af","af","Afrikaans"
"http://id.loc.gov/vocabulary/iso639-1/ak","ak","Akan"
"http://id.loc.gov/vocabulary/iso639-1/sq","sq","Albanian"
"http://id.loc.gov/vocabulary/iso639-1/am","am","Amharic"
"http://id.loc.gov/vocabulary/iso639-1/ar","ar","Arabic"
"http://id.loc.gov/vocabulary/iso639-1/an","an","Aragonese"
"http://id.loc.gov/vocabulary/iso639-1/hy","hy","Armenian"
"http://id.loc.gov/vocabulary/iso639-1/as","as","Assamese"
"http://id.loc.gov/vocabulary/iso639-1/av","av","Avaric"
"http://id.loc.gov/vocabulary/iso639-1/ae","ae","Avestan"
"http://id.loc.gov/vocabulary/iso639-1/ay","ay","Aymara"
"http://id.loc.gov/vocabulary/iso639-1/az","az","Azerbaijani"
"http://id.loc.gov/vocabulary/iso639-1/bm","bm","Bambara"
"http://id.loc.gov/vocabulary/iso639-1/ba","ba","Bashkir"
"http://id.loc.gov/vocabulary/iso639-1/eu","eu","Basque"
"http://id.loc.gov/vocabulary/iso639-1/be","be","Belarusian"
"http://id.loc.gov/vocabulary/iso639-1/bn","bn","Bengali"
"http://id.loc.gov/vocabulary/iso639-1/bh","bh","Bihari languages"
"http://id.loc.gov/vocabulary/iso639-1/bi","bi","Bislama"
"http://id.loc.gov/vocabulary/iso639-1/nb","nb","Bokmål"
"http://id.loc.gov/vocabulary/iso639-1/bs","bs","Bosnian"
"http://id.loc.gov/vocabulary/iso639-1/br","br","Breton"
"http://id.loc.gov/vocabulary/iso639-1/bg","bg","Bulgarian"
"http://id.loc.gov/vocabulary/iso639-1/my","my","Burmese"
"http://id.loc.gov/vocabulary/iso639-1/ca","ca","Catalan |  Valencian"
"http://id.loc.gov/vocabulary/iso639-1/km","km","Central Khmer"
"http://id.loc.gov/vocabulary/iso639-1/ch","ch","Chamorro"
"http://id.loc.gov/vocabulary/iso639-1/ce","ce","Chechen"
"http://id.loc.gov/vocabulary/iso639-1/ny","ny","Chichewa |  Chewa |  Nyanja"
"http://id.loc.gov/vocabulary/iso639-1/zh","zh","Chinese"
"http://id.loc.gov/vocabulary/iso639-1/cu","cu","Church Slavic |  Old Slavonic |  Church Slavonic |  Old Bulgarian |  Old Church Slavonic"
"http://id.loc.gov/vocabulary/iso639-1/cv","cv","Chuvash"
"http://id.loc.gov/vocabulary/iso639-1/kw","kw","Cornish"
"http://id.loc.gov/vocabulary/iso639-1/co","co","Corsican"
"http://id.loc.gov/vocabulary/iso639-1/cr","cr","Cree"
"http://id.loc.gov/vocabulary/iso639-1/hr","hr","Croatian"
"http://id.loc.gov/vocabulary/iso639-1/cs","cs","Czech"
"http://id.loc.gov/vocabulary/iso639-1/da","da","Danish"
"http://id.loc.gov/vocabulary/iso639-1/dv","dv","Divehi |  Dhivehi |  Maldivian"
"http://id.loc.gov/vocabulary/iso639-1/nl","nl","Dutch |  Flemish"
"http://id.loc.gov/vocabulary/iso639-1/dz","dz","Dzongkha"
"http://id.loc.gov/vocabulary/iso639-1/en","en","English"
"http://id.loc.gov/vocabulary/iso639-1/eo","eo","Esperanto"
"http://id.loc.gov/vocabulary/iso639-1/et","et","Estonian"
"http://id.loc.gov/vocabulary/iso639-1/ee","ee","Ewe"
"http://id.loc.gov/vocabulary/iso639-1/fo","fo","Faroese"
"http://id.loc.gov/vocabulary/iso639-1/fj","fj","Fijian"
"http://id.loc.gov/vocabulary/iso639-1/fi","fi","Finnish"
"http://id.loc.gov/vocabulary/iso639-1/fr","fr","French"
"http://id.loc.gov/vocabulary/iso639-1/ff","ff","Fulah"
"http://id.loc.gov/vocabulary/iso639-1/gd","gd","Gaelic |  Scottish Gaelic"
"http://id.loc.gov/vocabulary/iso639-1/gl","gl","Galician"
"http://id.loc.gov/vocabulary/iso639-1/lg","lg","Ganda"
"http://id.loc.gov/vocabulary/iso639-1/ka","ka","Georgian"
"http://id.loc.gov/vocabulary/iso639-1/de","de","German"
"http://id.loc.gov/vocabulary/iso639-1/el","el","Greek"
"http://id.loc.gov/vocabulary/iso639-1/gn","gn","Guarani"
"http://id.loc.gov/vocabulary/iso639-1/gu","gu","Gujarati"
